document,date,location
No-MM_K0100,1903-07-25,N/A
No-MM_K0106,1925-04-20,N/A
No-MM_K0117,1889-03-01,N/A
No-MM_K0119,1889-03-11,N/A
No-MM_K0135,1902-01-10,N/A
No-MM_K0192,1905-12-19,N/A
No-MM_K0196,1912-05-05,N/A
No-MM_K0197,1912-05-18,N/A
No-MM_K0262,1905-02-02,N/A
No-MM_K0290,1908-11-19,N/A
No-MM_K0309,1906-05-08,N/A
No-MM_K0311,1896-06-27,N/A
No-MM_K0331,1909-12-11,N/A
No-MM_K0345,1914-06-30,N/A
No-MM_K0585,1899-12-10,N/A
No-MM_K0734,1909-03-23,N/A
No-MM_K0798,1902,N/A
No-MM_K0811,1908-05-21,N/A
No-MM_K0853,1906-08,N/A
No-MM_K0920,1910-12-09,N/A
No-MM_K1032,1902-01-09,N/A
No-MM_K1100,1906-04-15,N/A
No-MM_K1503,1892-06-27,N/A
No-MM_K1510,1906-02-08,N/A
No-MM_K1521,1913-06-28,N/A
No-MM_K1556,1909-12-12,N/A
No-MM_K1576,1910-03-20,N/A
No-MM_K1593,1911-07-03,N/A
No-MM_K1594,1893-06,N/A
No-MM_K1612,1910-01-08,N/A
No-MM_K1614,1910-01-20,N/A
No-MM_K1729,1906-12-03,N/A
No-MM_K1760,1903-12-31,N/A
No-MM_K1766,1903-10-03,N/A
No-MM_K1767,1903-10,N/A
No-MM_K1771,1905-02-11,N/A
No-MM_K1797,1903-05,N/A
No-MM_K1803,1903-07,N/A
No-MM_K1810,1903-09-28,N/A
No-MM_K1843,1906-06-20,N/A
No-MM_K1942,1914-03-24,N/A
No-MM_K1994,1905-01-31,N/A
No-MM_K2004,1903-07-08,N/A
No-MM_K2044,1908-07-01,N/A
No-MM_K2092,1914-03-05,N/A
No-MM_K2259,1913-01-12,N/A
No-MM_K2260,1913-01-28,N/A
No-MM_K2319,1919-10-08,N/A
No-MM_K2352,1925-07-02,N/A
No-MM_K2357,1926-11-18,N/A
No-MM_K2665,1909-12-20,N/A
No-MM_K2713,1912-12-20,N/A
No-MM_K2719,1913-06-12,N/A
No-MM_K2765,1903-03-31,N/A
No-MM_K2766,1903-03-25,N/A
No-MM_K2774,1903-06-21,N/A
No-MM_K2843,1922-05-15,N/A
No-MM_K2869,1904-02-01,N/A
No-MM_K2958,1923-12-14,N/A
No-MM_K2959,1924-05-19,N/A
No-MM_K2982,1906-08-28,N/A
No-MM_K2986,1906-01-01,N/A
No-MM_K3045,1903-08-16,N/A
No-MM_K3050,1903-11-10,N/A
No-MM_K3052,1903-11-14,N/A
No-MM_K3057,1904-04-23,N/A
No-MM_K3058,1904-04-30,N/A
No-MM_K3059,1904-04-30,N/A
No-MM_K3064,1904-12-31,N/A
No-MM_K3066,1905-01-28,N/A
No-MM_K3067,1905-02-17,N/A
No-MM_K3069,1905-03-25,N/A
No-MM_K3071,1905-04-28,N/A
No-MM_K3072,1905-05-28,N/A
No-MM_K3073,1905-06-20,N/A
No-MM_K3080,1906-01-08,N/A
No-MM_K3083,1906-02-04,N/A
No-MM_K3091,1906-04-08,N/A
No-MM_K3095,1906-05-26,N/A
No-MM_K3101,1906-10-21,N/A
No-MM_K3103,1906-11-07,N/A
No-MM_K3105,1906-12-09,N/A
No-MM_K3106,1906-12-17,N/A
No-MM_K3107,1906-12-23,N/A
No-MM_K3109,1907-01-20,N/A
No-MM_K3159,1909-01-29,N/A
No-MM_K3160,1909-01-31,N/A
No-MM_K3162,1909-02-04,N/A
No-MM_K3166,1907-03-01,N/A
No-MM_K3170,1909-05-09,N/A
